exam	section	question	reason	detail	image
2022 9모	공통	16	small	(730, 86)	평가원 수학/2022 9모/Questions/공통/2022 9모 공통 16번.png
2021 수능	나형	22	small	(725, 75)	평가원 수학/2021 수능/Questions/나형/2021 수능 나형 22번.png
2021 수능	나형	24	small	(509, 68)	평가원 수학/2021 수능/Questions/나형/2021 수능 나형 24번.png
2021 9모	나형	22	small	(1002, 85)	평가원 수학/2021 9모/Questions/나형/2021 9모 나형 22번.png
2021 6모	가형	22	small	(1015, 84)	평가원 수학/2021 6모/Questions/가형/2021 6모 가형 22번.png
2021 6모	나형	22	small	(881, 83)	평가원 수학/2021 6모/Questions/나형/2021 6모 나형 22번.png
2020 수능	나형	22	small	(624, 87)	평가원 수학/2020 수능/Questions/나형/2020 수능 나형 22번.png
2020 9모	나형	22	small	(531, 86)	평가원 수학/2020 9모/Questions/나형/2020 9모 나형 22번.png
2020 6모	나형	22	small	(535, 86)	평가원 수학/2020 6모/Questions/나형/2020 6모 나형 22번.png
2019 수능	가형	22	small	(633, 87)	평가원 수학/2019 수능/Questions/가형/2019 수능 가형 22번.png
2019 수능	가형	23	small	(792, 87)	평가원 수학/2019 수능/Questions/가형/2019 수능 가형 23번.png
2019 수능	나형	22	small	(626, 87)	평가원 수학/2019 수능/Questions/나형/2019 수능 나형 22번.png
2019 9모	가형	22	small	(623, 87)	평가원 수학/2019 9모/Questions/가형/2019 9모 가형 22번.png
2019 9모	나형	22	small	(631, 86)	평가원 수학/2019 9모/Questions/나형/2019 9모 나형 22번.png
2019 6모	나형	22	small	(533, 86)	평가원 수학/2019 6모/Questions/나형/2019 6모 나형 22번.png
2018 수능	가형	22	small	(531, 87)	평가원 수학/2018 수능/Questions/가형/2018 수능 가형 22번.png
2018 수능	나형	22	small	(526, 87)	평가원 수학/2018 수능/Questions/나형/2018 수능 나형 22번.png
2018 9모	가형	22	small	(535, 86)	평가원 수학/2018 9모/Questions/가형/2018 9모 가형 22번.png
2018 9모	나형	22	small	(535, 86)	평가원 수학/2018 9모/Questions/나형/2018 9모 나형 22번.png
2018 9모	나형	23	small	(1015, 86)	평가원 수학/2018 9모/Questions/나형/2018 9모 나형 23번.png
2018 6모	가형	22	small	(532, 87)	평가원 수학/2018 6모/Questions/가형/2018 6모 가형 22번.png
2018 6모	나형	22	small	(532, 87)	평가원 수학/2018 6모/Questions/나형/2018 6모 나형 22번.png
2017 수능	가형	22	small	(544, 87)	평가원 수학/2017 수능/Questions/가형/2017 수능 가형 22번.png
2017 수능	나형	22	small	(627, 86)	평가원 수학/2017 수능/Questions/나형/2017 수능 나형 22번.png
2017 9모	가형	22	small	(533, 86)	평가원 수학/2017 9모/Questions/가형/2017 9모 가형 22번.png
2017 9모	나형	22	small	(533, 86)	평가원 수학/2017 9모/Questions/나형/2017 9모 나형 22번.png
2017 6모	나형	22	small	(535, 87)	평가원 수학/2017 6모/Questions/나형/2017 6모 나형 22번.png
